,0,1,2,3
0,1.0,0.0,0.0,0.0
1,1.0,0.15,0.0225,0.003375
2,1.0,0.225,0.050625,0.011390625000000001
3,1.0,0.275,0.07562500000000001,0.020796875000000006
4,1.0,0.325,0.10562500000000001,0.03432812500000001
5,1.0,0.526,0.27667600000000003,0.14553157600000002
6,1.0,0.5760000000000001,0.33177600000000007,0.19110297600000006
7,1.0,0.6759999999999999,0.45697599999999994,0.3089157759999999
8,1.0,0.701,0.4914009999999999,0.3444721009999999
9,1.0,0.7509999999999999,0.5640009999999999,0.42356475099999985
10,1.0,0.8009999999999999,0.6416009999999999,0.5139224009999999
11,1.0,0.826,0.6822759999999999,0.5635599759999999
12,1.0,0.851,0.724201,0.6162950509999999
13,1.0,0.9259999999999999,0.8574759999999999,0.7940227759999998
14,1.0,0.976,0.952576,0.929714176
15,1.0,1.001,1.0020009999999997,1.0030030009999995
16,1.0,1.026,1.052676,1.080045576
17,1.0,1.051,1.104601,1.160935651
18,1.0,1.0759999999999998,1.1577759999999997,1.2457669759999994
19,1.0,1.101,1.2122009999999999,1.3346333009999998
20,1.0,1.151,1.3248010000000001,1.524845951
21,1.0,1.251,1.5650009999999996,1.9578162509999995
22,1.0,1.276,1.628176,2.077552576
23,1.0,1.301,1.6926009999999998,2.2020739009999994
24,1.0,1.401,1.962801,2.749884201
25,1.0,1.426,2.033476,2.8997367759999997
26,1.0,1.5019999999999998,2.2560039999999995,3.388518007999999
27,1.0,1.5519999999999998,2.4087039999999993,3.7383086079999983
28,1.0,1.652,2.7291039999999995,4.508479807999999
29,1.0,1.702,2.896804,4.930360407999999
30,1.0,1.827,3.337929,6.098396283
31,1.0,1.8769999999999998,3.523128999999999,6.6129131329999975
32,1.0,1.902,3.6176039999999996,6.880682807999999
33,1.0,2.0269999999999997,4.1087289999999985,8.328393682999996
34,1.0,2.077,4.313929,8.960030533
35,1.0,2.102,4.418404,9.287485208
36,1.0,2.252,5.071503999999999,11.421027007999998
37,1.0,2.4019999999999997,5.769603999999998,13.858588807999995
38,1.0,2.553,6.517809,16.639966377
39,1.0,2.5780000000000003,6.646084000000002,17.13360455200001
40,1.0,2.7030000000000003,7.306209000000002,19.748682927000008
41,1.0,2.8280000000000003,7.997584000000002,22.617167552000005
42,1.0,2.9530000000000003,8.720209000000002,25.75077717700001
43,1.0,3.028,9.168784,27.763077952000003
44,1.0,3.053,9.320808999999999,28.456429876999994
45,1.0,3.0780000000000003,9.474084000000001,29.161230552000006
46,1.0,3.2030000000000003,10.259209000000002,32.86024642700001
47,1.0,3.378,11.410884000000001,38.545966152000005
48,1.0,3.403,11.580409,39.408131827
49,1.0,3.428,11.751184,40.283058752
50,1.0,3.529,12.453840999999999,43.94960488899999
51,1.0,3.5789999999999997,12.809240999999998,45.84427353899999
52,1.0,3.6039999999999996,12.988815999999998,46.81169286399999
53,1.0,3.6289999999999996,13.169640999999997,47.79262718899998
54,1.0,3.679,13.535040999999998,49.79541583899999
55,1.0,3.7289999999999996,13.905440999999998,51.85338948899999
56,1.0,3.779,14.280840999999999,53.96729813899999
57,1.0,3.804,14.470415999999998,55.04546246399999
58,1.0,3.929,15.437040999999999,60.65213408899999
59,1.0,3.9789999999999996,15.832440999999998,62.997282738999985
60,1.0,4.178999999999999,17.464040999999995,72.98222733899996
61,1.0,4.303999999999999,18.524415999999995,79.72908646399996
62,1.0,4.329,18.740240999999997,81.12650328899998
63,1.0,4.428999999999999,19.616040999999996,86.87944558899997
64,1.0,4.53,20.5209,92.95967700000001
65,1.0,4.555,20.748025,94.50725387499999
66,1.0,4.605,21.206025000000004,97.65374512500003
67,1.0,4.73,22.372900000000005,105.82381700000003
68,1.0,4.78,22.8484,109.21535200000001
69,1.0,4.88,23.8144,116.214272
70,1.0,4.93,24.304899999999996,119.82315699999998
71,1.0,4.955,24.552025,121.65528387500001
72,1.0,4.98,24.800400000000003,123.50599200000002
73,1.0,5.03,25.300900000000002,127.26352700000001
74,1.0,5.08,25.8064,131.096512
75,1.0,5.18,26.832399999999996,138.99183199999996
76,1.0,5.205,27.092025,141.013990125
77,1.0,5.255,27.615025,145.116956375
78,1.0,5.305,28.143024999999998,149.29874762499998
79,1.0,5.455,29.757025000000002,162.324571375
80,1.0,5.506,30.316036000000004,166.92009421600002
81,1.0,5.556,30.869136,171.50891961600001
82,1.0,5.631,31.708161000000004,178.54865459100003
83,1.0,5.731,32.844361,188.23103289099998
84,1.0,5.781000000000001,33.41996100000001,193.20079454100008
85,1.0,5.806,33.709636,195.718146616
86,1.0,5.831,34.000561000000005,198.25727119100003
87,1.0,5.931,35.176761,208.633369491
88,1.0,5.956,35.473936,211.28276281600003
89,1.0,5.981,35.772361,213.95449114099998
90,1.0,6.006,36.072036000000004,216.64864821600003
91,1.0,6.081,36.978561000000006,224.86662944100004
92,1.0,6.106,37.283235999999995,227.65143901599996
93,1.0,6.131,37.589161000000004,230.45914609100004
94,1.0,6.156000000000001,37.896336000000005,233.28984441600005
95,1.0,6.181,38.204761,236.143627741
96,1.0,6.356,40.398736,256.774366016
97,1.0,6.406000000000001,41.03683600000001,262.88197141600006
98,1.0,6.456,41.679936000000005,269.08566681600007
99,1.0,6.481,42.003361,272.22378264099996
100,1.0,6.607,43.652449000000004,288.41173054300003
101,1.0,6.682,44.64912400000001,298.34544656800006
102,1.0,6.732,45.319824000000004,305.09305516800003
103,1.0,6.782,45.995524,311.941643768
104,1.0,6.857,47.018449000000004,322.40550479300003
105,1.0,6.957000000000001,48.39984900000001,336.7177494930001
